id,text,category,tags,tone,attribution
work-focus-004,"Make progress, then make space.",work-focus,work|focus,focused,
work-focus-005,You can work without abandoning yourself.,work-focus,work|focus,focused,
work-focus-006,Clarity often arrives after you begin.,work-focus,work|focus,focused,
work-focus-007,Protect your attention like something precious.,work-focus,work|focus,focused,
work-focus-008,"Small, steady effort still counts.",work-focus,work|focus,focused,
work-focus-009,Finish the important thing before the loud thing.,work-focus,work|focus,focused,
work-focus-010,Take breaks before your body demands them.,work-focus,work|focus,focused,
work-focus-011,Your work is not your whole worth.,work-focus,work|focus,focused,
work-focus-012,A calm mind can still do meaningful work.,work-focus,work|focus,focused,
work-focus-013,Choose progress that you can sustain.,work-focus,work|focus,focused,
work-focus-014,Not everything urgent is important.,work-focus,work|focus,focused,
work-focus-015,"Let your effort be focused, not frantic.",work-focus,work|focus,focused,
money-001,Every thoughtful choice builds steadier ground.,money,money|progress,reassuring,
money-002,Small savings are still real progress.,money,money|progress,reassuring,
money-003,"Your numbers are information, not a judgment.",money,money|progress,reassuring,
money-004,Spend in ways that support your life.,money,money|progress,reassuring,
money-005,You can learn money one choice at a time.,money,money|progress,reassuring,
money-006,A clear plan can feel like relief.,money,money|progress,reassuring,
money-007,Progress is more useful than financial perfection.,money,money|progress,reassuring,
money-008,Make room for joy and responsibility.,money,money|progress,reassuring,
money-009,Today’s small decision can help future you.,money,money|progress,reassuring,
money-010,Money can be handled gently and honestly.,money,money|progress,reassuring,
health-self-care-001,Listen before your body has to shout.,health-self-care,health|self-care,caring,
health-self-care-002,Care can be simple and still matter.,health-self-care,health|self-care,caring,
health-self-care-003,Drink water. Unclench your shoulders. Begin there.,health-self-care,health|self-care,caring,
health-self-care-004,Your body is not an inconvenience.,health-self-care,health|self-care,caring,
health-self-care-005,Movement can be gentle and still be movement.,health-self-care,health|self-care,caring,
health-self-care-006,Nourishment is a form of kindness.,health-self-care,health|self-care,caring,
health-self-care-007,Rest and effort can belong together.,health-self-care,health|self-care,caring,
health-self-care-008,Choose care that you can return to.,health-self-care,health|self-care,caring,
health-self-care-009,You deserve support on ordinary days too.,health-self-care,health|self-care,caring,
health-self-care-010,A slower day can still be healthy.,health-self-care,health|self-care,caring,
health-self-care-011,Your wellbeing is worth making room for.,health-self-care,health|self-care,caring,
health-self-care-012,"Check in with yourself, not against yourself.",health-self-care,health|self-care,caring,
love-relationships-001,"Love grows in the small, repeated things.",love-relationships,love|relationships,warm,
love-relationships-002,Make room to listen without preparing an answer.,love-relationships,love|relationships,warm,
love-relationships-003,Kindness is part of being understood.,love-relationships,love|relationships,warm,
love-relationships-004,You can be honest and gentle together.,love-relationships,love|relationships,warm,
love-relationships-005,Connection needs presence more than perfection.,love-relationships,love|relationships,warm,
love-relationships-006,Say the caring thing while there is time.,love-relationships,love|relationships,warm,
love-relationships-007,Healthy love leaves room to breathe.,love-relationships,love|relationships,warm,
love-relationships-008,Let affection be ordinary and often.,love-relationships,love|relationships,warm,
love-relationships-009,You are allowed to ask for tenderness.,love-relationships,love|relationships,warm,
love-relationships-010,The right people do not require a smaller you.,love-relationships,love|relationships,warm,
rest-low-energy-001,Low energy is not a personal failure.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-002,Today may need a softer plan.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-003,"Do less, but do it kindly.",rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-004,Rest before you become completely empty.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-005,Your quiet days still belong to you.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-006,You can pause without losing your way.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-007,Let your body set the pace today.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-008,A smaller plan is still a plan.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-009,You are not behind. You are tired.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-010,Make the day light enough to carry.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-011,Rest can be the most useful choice.,rest-low-energy,rest|low-energy,compassionate,
rest-low-energy-012,Soft days are still real days.,rest-low-energy,rest|low-energy,compassionate,
mood-support-001,Feelings can visit without becoming your whole home.,mood-support,mood|support,comforting,
mood-support-002,You do not have to explain every feeling.,mood-support,mood|support,comforting,
mood-support-003,Let the emotion move at its own speed.,mood-support,mood|support,comforting,
mood-support-004,You can be unsettled and still be safe.,mood-support,mood|support,comforting,
mood-support-005,There is room for more than one feeling.,mood-support,mood|support,comforting,
mood-support-006,Be curious about what your heart needs.,mood-support,mood|support,comforting,
mood-support-007,"Your feelings are information, not instructions.",mood-support,mood|support,comforting,
mood-support-008,You are allowed to feel this without fixing it.,mood-support,mood|support,comforting,
mood-support-009,A hard moment is not the whole day.,mood-support,mood|support,comforting,
mood-support-010,Hold yourself with the kindness you would offer someone else.,mood-support,mood|support,comforting,
mood-support-011,You do not need to force brightness.,mood-support,mood|support,comforting,
mood-support-012,Let calm arrive in small pieces.,mood-support,mood|support,comforting,
mood-support-013,"Take the next moment, not the whole future.",mood-support,mood|support,comforting,
weather-001,Let the light find you today.,weather,weather|sunny,atmospheric,
weather-002,A little cloud does not cancel the light.,weather,weather|partly-cloudy,atmospheric,
weather-003,Grey skies can still hold gentle days.,weather,weather|cloudy,atmospheric,
weather-004,Let the rain make the world quieter.,weather,weather|rain,atmospheric,
weather-005,Stay close to what feels steady.,weather,weather|storm,atmospheric,
weather-006,Let the wind carry off what feels heavy.,weather,weather|windy,atmospheric,
weather-007,You only need to see the next step.,weather,weather|fog,atmospheric,
weather-008,Something beautiful can follow a difficult sky.,weather,weather|rainbow,atmospheric,
weather-009,The world knows how to pause.,weather,weather|snow,atmospheric,
weather-010,Move slowly beneath the bright day.,weather,weather|hot,atmospheric,
celebrations-001,"Your life is worth celebrating, exactly as it is.",celebrations,celebration|birthday,joyful,
celebrations-002,"Begin the year with hope, not pressure.",celebrations,celebration|new-year,joyful,
celebrations-003,"Love can be soft, steady, and everyday.",celebrations,celebration|valentines-day,joyful,
celebrations-004,A little magic belongs in ordinary life.,celebrations,celebration|halloween,joyful,
celebrations-005,New beginnings can arrive quietly.,celebrations,celebration|easter-spring,joyful,
celebrations-006,"Keep the warmth, release the rush.",celebrations,celebration|christmas,joyful,
celebrations-007,Pause long enough to feel proud.,celebrations,celebration|achievement,joyful,
celebrations-008,Joy deserves a place on the calendar.,celebrations,celebration|general-celebration,joyful,
